secs,&nbsp;4 15:30+1&gt;2,&nbsp;4 15:34+0&gt;2,&nbsp;4 16:02+0&gt;1,&nbsp;4 17:42+0&gt;2
0.5,NaN,1.49,0.83,NaN
1,1.12,1.52,1.08,NaN
1.5,1.08,1.66,1.04,NaN
2,1.24,1.67,0.95,NaN
2.5,1.29,1.71,0.84,NaN
3,1.32,1.68,0.82,NaN
3.5,1.38,1.69,0.80,NaN
4,1.40,1.65,0.80,NaN
4.5,1.43,1.65,0.79,NaN
5,1.44,1.60,0.80,NaN
5.5,1.43,1.56,0.80,NaN
6,1.47,1.51,0.83,NaN
6.5,1.62,1.51,0.84,NaN
7,1.82,1.51,0.83,NaN
7.5,2.01,1.49,0.85,NaN
8,2.10,1.50,0.84,NaN
8.5,2.14,1.53,0.83,NaN
9,2.16,1.57,0.84,NaN
9.5,2.11,1.58,0.86,NaN
10,2.10,1.53,0.84,1.24
10.5,2.07,1.50,0.82,1.33
11,2.02,1.50,0.78,1.40
11.5,2.03,1.49,0.74,1.46
12,2.00,1.47,0.69,1.47
12.5,1.97,1.46,0.70,1.53
13,1.94,1.41,0.72,1.52
13.5,1.88,1.39,0.70,1.52
14,1.85,1.37,0.65,1.54
14.5,1.78,1.35,0.70,1.48
15,1.75,1.37,0.67,1.45
15.5,1.73,1.36,0.69,1.44
16,1.73,1.29,0.68,1.39
16.5,1.67,1.26,0.73,1.40
17,1.64,1.28,0.71,1.39
17.5,1.62,1.30,0.71,1.35
18,1.62,1.32,0.73,1.35
18.5,1.61,1.40,0.73,1.41
19,1.63,1.46,0.75,1.56
19.5,1.62,1.45,0.75,1.66
20,1.63,1.45,0.75,1.73
20.5,1.65,1.47,0.77,1.77
21,1.67,1.45,0.77,1.77
21.5,1.69,1.46,0.79,1.79
22,1.70,1.46,0.75,1.78
22.5,1.77,1.44,0.74,1.82
23,1.84,1.42,0.71,1.84
23.5,1.90,1.38,0.66,1.86
24,1.95,1.37,0.65,1.86
24.5,1.99,1.32,0.58,1.81
25,2.00,1.33,0.55,1.82
25.5,2.01,1.32,0.52,1.78
26,2.03,1.28,0.47,1.80
26.5,2.00,1.25,0.47,1.76
27,1.98,1.22,0.53,1.76
27.5,1.96,1.22,0.58,1.74
28,1.95,1.19,0.60,1.71
28.5,1.95,1.19,0.59,1.54
29,1.92,1.20,0.60,1.22
29.5,1.93,1.14,0.62,0.89
30,1.92,0.80,0.65,0.68
30.5,1.96,0.62,0.68,0.41
31,2.02,0.23,0.67,0.29
31.5,2.01,NaN,0.67,0.19
32,2.02,NaN,0.67,0.12
32.5,2.04,NaN,0.69,0.12
33,2.04,NaN,0.71,0.12
33.5,2.10,NaN,0.67,0.13
34,2.06,NaN,0.71,0.10
34.5,2.04,NaN,0.70,0.08
35,2.03,NaN,0.70,0.10
35.5,2.04,NaN,0.70,0.16
36,2.02,NaN,0.69,0.23
36.5,2.01,NaN,0.77,0.27
37,1.98,NaN,0.79,0.24
37.5,1.94,NaN,0.79,0.31
38,1.93,NaN,0.82,0.34
38.5,1.88,NaN,0.82,0.35
39,1.81,NaN,0.81,0.35
39.5,1.77,NaN,0.77,NaN
40,1.73,NaN,0.78,NaN
40.5,1.69,NaN,0.83,NaN
41,1.66,NaN,0.81,NaN
41.5,1.63,NaN,0.81,NaN
42,1.60,NaN,0.80,NaN
42.5,1.56,NaN,0.79,NaN
43,1.51,NaN,0.76,NaN
43.5,1.50,NaN,0.76,NaN
44,1.46,NaN,0.73,NaN
44.5,1.42,NaN,0.76,NaN
45,1.41,NaN,0.74,NaN
45.5,1.39,NaN,0.79,NaN
46,1.38,NaN,0.79,NaN
46.5,1.40,NaN,0.80,NaN
47,1.39,NaN,0.78,NaN
47.5,1.45,NaN,0.76,NaN
48,1.44,NaN,0.75,NaN
48.5,1.46,NaN,0.81,NaN
49,1.49,NaN,0.81,NaN
49.5,1.58,NaN,0.77,NaN
50,1.63,NaN,0.79,NaN
50.5,1.64,NaN,0.83,NaN
51,1.72,NaN,0.83,NaN
51.5,1.74,NaN,0.88,NaN
52,1.76,NaN,0.90,NaN
52.5,1.77,NaN,0.92,NaN
53,1.83,NaN,0.95,NaN
53.5,1.81,NaN,0.95,NaN
54,1.81,NaN,0.92,NaN
54.5,1.79,NaN,0.92,NaN
55,1.80,NaN,0.96,NaN
55.5,1.77,NaN,0.95,NaN
56,1.76,NaN,0.93,NaN
56.5,1.78,NaN,0.89,NaN
57,1.79,NaN,0.81,NaN
57.5,1.80,NaN,0.76,NaN
58,1.80,NaN,0.72,NaN
58.5,1.83,NaN,0.69,NaN
59,1.85,NaN,0.69,NaN
59.5,1.88,NaN,0.68,NaN
60,1.91,NaN,0.68,NaN
60.5,1.88,NaN,0.70,NaN
61,1.89,NaN,0.72,NaN
61.5,1.87,NaN,0.77,NaN
62,1.84,NaN,0.76,NaN
62.5,1.79,NaN,0.79,NaN
63,1.77,NaN,0.81,NaN
63.5,1.73,NaN,0.87,NaN
64,1.70,NaN,0.87,NaN
64.5,1.67,NaN,0.86,NaN
65,1.64,NaN,0.87,NaN
65.5,1.61,NaN,0.88,NaN
66,1.62,NaN,0.85,NaN
66.5,1.62,NaN,0.83,NaN
67,1.59,NaN,0.81,NaN
67.5,1.55,NaN,0.79,NaN
68,1.53,NaN,0.79,NaN
68.5,1.51,NaN,0.81,NaN
69,1.50,NaN,0.80,NaN
69.5,1.46,NaN,0.75,NaN
70,1.45,NaN,0.76,NaN
70.5,1.42,NaN,0.73,NaN
71,1.39,NaN,0.74,NaN
71.5,1.43,NaN,0.69,NaN
72,1.43,NaN,0.65,NaN
72.5,1.40,NaN,0.65,NaN
73,1.43,NaN,0.63,NaN
73.5,1.44,NaN,0.58,NaN
74,1.39,NaN,0.57,NaN
74.5,1.36,NaN,0.58,NaN
75,1.36,NaN,0.56,NaN
75.5,1.40,NaN,0.59,NaN
76,1.50,NaN,0.57,NaN
76.5,1.51,NaN,0.56,NaN
77,1.52,NaN,0.55,NaN
77.5,1.61,NaN,0.49,NaN
78,1.65,NaN,0.46,NaN
78.5,1.66,NaN,0.45,NaN
79,1.67,NaN,0.48,NaN
79.5,1.71,NaN,0.49,NaN
80,1.68,NaN,0.50,NaN
80.5,1.71,NaN,0.52,NaN
81,1.74,NaN,0.54,NaN
81.5,1.76,NaN,0.55,NaN
82,1.78,NaN,0.58,NaN
82.5,1.81,NaN,0.58,NaN
83,1.85,NaN,0.61,NaN
83.5,1.88,NaN,0.62,NaN
84,1.90,NaN,0.62,NaN
84.5,1.91,NaN,0.63,NaN
85,1.97,NaN,0.63,NaN
85.5,1.98,NaN,0.67,NaN
86,2.00,NaN,0.69,NaN
86.5,2.01,NaN,0.66,NaN
87,2.01,NaN,0.65,NaN
87.5,2.00,NaN,0.68,NaN
88,1.99,NaN,0.67,NaN
88.5,1.95,NaN,0.65,NaN
89,1.98,NaN,0.68,NaN
89.5,1.96,NaN,0.63,NaN
90,1.98,NaN,0.61,NaN
90.5,1.98,NaN,0.57,NaN
91,1.96,NaN,0.49,NaN
91.5,1.97,NaN,NaN,NaN
92,1.94,NaN,NaN,NaN
92.5,1.88,NaN,NaN,NaN
93,1.88,NaN,NaN,NaN
93.5,1.86,NaN,NaN,NaN
94,1.82,NaN,NaN,NaN
94.5,1.76,NaN,NaN,NaN
95,1.74,NaN,NaN,NaN
95.5,1.71,NaN,NaN,NaN
96,1.72,NaN,NaN,NaN
96.5,1.73,NaN,NaN,NaN
97,1.70,NaN,NaN,NaN
97.5,1.66,NaN,NaN,NaN
98,1.65,NaN,NaN,NaN
98.5,1.67,NaN,NaN,NaN
99,1.68,NaN,NaN,NaN
99.5,1.66,NaN,NaN,NaN
100,1.67,NaN,NaN,NaN
100.5,1.68,NaN,NaN,NaN
101,1.69,NaN,NaN,NaN
101.5,1.71,NaN,NaN,NaN
102,1.71,NaN,NaN,NaN
102.5,1.70,NaN,NaN,NaN
103,1.67,NaN,NaN,NaN
103.5,1.67,NaN,NaN,NaN
104,1.65,NaN,NaN,NaN
104.5,1.63,NaN,NaN,NaN
105,1.66,NaN,NaN,NaN
105.5,1.63,NaN,NaN,NaN
106,1.66,NaN,NaN,NaN
106.5,1.66,NaN,NaN,NaN
107,1.74,NaN,NaN,NaN
107.5,1.82,NaN,NaN,NaN
108,1.88,NaN,NaN,NaN
108.5,1.93,NaN,NaN,NaN
109,1.94,NaN,NaN,NaN
109.5,1.94,NaN,NaN,NaN
110,1.94,NaN,NaN,NaN
110.5,1.97,NaN,NaN,NaN
111,1.97,NaN,NaN,NaN
111.5,1.96,NaN,NaN,NaN
112,1.95,NaN,NaN,NaN
112.5,1.96,NaN,NaN,NaN
113,1.98,NaN,NaN,NaN
113.5,2.03,NaN,NaN,NaN
114,2.03,NaN,NaN,NaN
114.5,2.07,NaN,NaN,NaN
115,2.07,NaN,NaN,NaN
115.5,2.06,NaN,NaN,NaN
116,2.07,NaN,NaN,NaN
116.5,2.10,NaN,NaN,NaN
117,2.16,NaN,NaN,NaN
117.5,2.15,NaN,NaN,NaN
118,2.11,NaN,NaN,NaN
118.5,2.12,NaN,NaN,NaN
119,2.09,NaN,NaN,NaN
119.5,2.04,NaN,NaN,NaN
120,2.00,NaN,NaN,NaN
120.5,2.00,NaN,NaN,NaN
121,1.97,NaN,NaN,NaN
121.5,1.95,NaN,NaN,NaN
122,1.93,NaN,NaN,NaN
122.5,1.94,NaN,NaN,NaN
123,1.93,NaN,NaN,NaN
123.5,1.94,NaN,NaN,NaN
124,1.98,NaN,NaN,NaN
124.5,1.92,NaN,NaN,NaN
125,1.92,NaN,NaN,NaN
125.5,1.93,NaN,NaN,NaN
126,1.91,NaN,NaN,NaN
126.5,1.88,NaN,NaN,NaN
127,1.85,NaN,NaN,NaN
127.5,1.83,NaN,NaN,NaN
128,1.83,NaN,NaN,NaN
128.5,1.87,NaN,NaN,NaN
129,1.89,NaN,NaN,NaN
129.5,1.90,NaN,NaN,NaN
130,1.86,NaN,NaN,NaN
130.5,1.84,NaN,NaN,NaN
131,1.84,NaN,NaN,NaN
131.5,1.80,NaN,NaN,NaN
132,1.76,NaN,NaN,NaN
132.5,1.73,NaN,NaN,NaN
133,1.75,NaN,NaN,NaN
133.5,1.73,NaN,NaN,NaN
134,1.79,NaN,NaN,NaN
134.5,1.78,NaN,NaN,NaN
135,1.76,NaN,NaN,NaN
135.5,1.76,NaN,NaN,NaN
136,1.76,NaN,NaN,NaN
136.5,1.74,NaN,NaN,NaN
137,1.78,NaN,NaN,NaN
137.5,1.83,NaN,NaN,NaN
138,1.85,NaN,NaN,NaN
138.5,1.82,NaN,NaN,NaN
139,1.87,NaN,NaN,NaN
139.5,1.89,NaN,NaN,NaN
140,1.85,NaN,NaN,NaN
140.5,1.85,NaN,NaN,NaN
141,1.92,NaN,NaN,NaN
141.5,1.93,NaN,NaN,NaN
142,1.93,NaN,NaN,NaN
142.5,1.90,NaN,NaN,NaN
143,1.90,NaN,NaN,NaN
143.5,1.94,NaN,NaN,NaN
144,1.97,NaN,NaN,NaN
144.5,1.97,NaN,NaN,NaN
145,1.93,NaN,NaN,NaN
145.5,1.91,NaN,NaN,NaN
146,1.88,NaN,NaN,NaN
146.5,1.83,NaN,NaN,NaN
147,1.80,NaN,NaN,NaN
147.5,1.79,NaN,NaN,NaN
148,1.79,NaN,NaN,NaN
148.5,1.77,NaN,NaN,NaN
149,1.72,NaN,NaN,NaN
149.5,1.71,NaN,NaN,NaN
150,1.72,NaN,NaN,NaN
150.5,1.71,NaN,NaN,NaN
151,1.73,NaN,NaN,NaN
151.5,1.69,NaN,NaN,NaN
152,1.70,NaN,NaN,NaN
152.5,1.68,NaN,NaN,NaN
153,1.68,NaN,NaN,NaN
153.5,1.69,NaN,NaN,NaN
154,1.71,NaN,NaN,NaN
154.5,1.71,NaN,NaN,NaN
155,1.70,NaN,NaN,NaN
155.5,1.73,NaN,NaN,NaN
156,1.70,NaN,NaN,NaN
156.5,1.69,NaN,NaN,NaN
157,1.65,NaN,NaN,NaN
157.5,1.66,NaN,NaN,NaN
158,1.65,NaN,NaN,NaN
158.5,1.68,NaN,NaN,NaN
159,1.71,NaN,NaN,NaN
159.5,1.70,NaN,NaN,NaN
160,1.71,NaN,NaN,NaN
160.5,1.67,NaN,NaN,NaN
161,1.67,NaN,NaN,NaN
161.5,1.68,NaN,NaN,NaN
162,1.65,NaN,NaN,NaN
162.5,1.62,NaN,NaN,NaN
163,1.64,NaN,NaN,NaN
163.5,1.64,NaN,NaN,NaN
164,1.61,NaN,NaN,NaN
164.5,1.61,NaN,NaN,NaN
165,1.61,NaN,NaN,NaN
165.5,1.60,NaN,NaN,NaN
166,1.63,NaN,NaN,NaN
166.5,1.61,NaN,NaN,NaN
167,1.59,NaN,NaN,NaN
167.5,1.59,NaN,NaN,NaN
168,1.70,NaN,NaN,NaN
168.5,1.69,NaN,NaN,NaN
169,1.60,NaN,NaN,NaN
169.5,1.58,NaN,NaN,NaN
170,1.54,NaN,NaN,NaN
170.5,1.51,NaN,NaN,NaN
171,1.51,NaN,NaN,NaN
171.5,1.48,NaN,NaN,NaN
172,1.46,NaN,NaN,NaN
172.5,1.51,NaN,NaN,NaN
173,1.49,NaN,NaN,NaN
173.5,1.65,NaN,NaN,NaN
174,1.69,NaN,NaN,NaN
174.5,1.72,NaN,NaN,NaN
175,1.70,NaN,NaN,NaN
175.5,1.70,NaN,NaN,NaN
176,1.69,NaN,NaN,NaN
176.5,1.71,NaN,NaN,NaN
177,1.75,NaN,NaN,NaN
177.5,1.75,NaN,NaN,NaN
178,1.69,NaN,NaN,NaN
178.5,1.83,NaN,NaN,NaN
179,1.83,NaN,NaN,NaN
179.5,1.85,NaN,NaN,NaN
180,1.91,NaN,NaN,NaN
180.5,1.95,NaN,NaN,NaN
181,1.96,NaN,NaN,NaN
181.5,1.98,NaN,NaN,NaN
182,1.96,NaN,NaN,NaN
182.5,1.97,NaN,NaN,NaN
183,1.98,NaN,NaN,NaN
183.5,1.98,NaN,NaN,NaN
184,1.99,NaN,NaN,NaN
184.5,1.94,NaN,NaN,NaN
185,1.91,NaN,NaN,NaN
185.5,1.89,NaN,NaN,NaN
186,1.87,NaN,NaN,NaN
186.5,1.80,NaN,NaN,NaN
187,1.73,NaN,NaN,NaN
187.5,1.71,NaN,NaN,NaN
188,1.69,NaN,NaN,NaN
188.5,1.67,NaN,NaN,NaN
189,1.64,NaN,NaN,NaN
189.5,1.63,NaN,NaN,NaN
190,1.61,NaN,NaN,NaN
190.5,1.58,NaN,NaN,NaN
191,1.57,NaN,NaN,NaN
191.5,1.58,NaN,NaN,NaN
192,1.55,NaN,NaN,NaN
192.5,1.55,NaN,NaN,NaN
193,1.53,NaN,NaN,NaN
193.5,1.58,NaN,NaN,NaN
194,1.62,NaN,NaN,NaN
194.5,1.64,NaN,NaN,NaN
195,1.67,NaN,NaN,NaN
195.5,1.64,NaN,NaN,NaN
196,1.67,NaN,NaN,NaN
196.5,1.67,NaN,NaN,NaN
197,1.59,NaN,NaN,NaN
197.5,1.61,NaN,NaN,NaN
198,1.57,NaN,NaN,NaN
198.5,1.57,NaN,NaN,NaN
199,1.59,NaN,NaN,NaN
199.5,1.55,NaN,NaN,NaN
200,1.59,NaN,NaN,NaN
200.5,1.63,NaN,NaN,NaN
201,1.72,NaN,NaN,NaN
201.5,1.71,NaN,NaN,NaN
202,1.14,NaN,NaN,NaN
202.5,0.53,NaN,NaN,NaN
203,0.18,NaN,NaN,NaN
